session_id,uid_hash,uid_plain_local,t_reader_A,t_reader_B,delta_ms
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:05.680329,2025-11-11T10:38:05.681329,1.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:05.715329,2025-11-11T10:38:05.720329,5.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:05.805329,2025-11-11T10:38:05.800329,5.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:05.837329,2025-11-11T10:38:05.835329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:05.890329,2025-11-11T10:38:05.893329,3.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:05.930329,2025-11-11T10:38:05.930329,0.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:05.972329,2025-11-11T10:38:05.968329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:06.004329,2025-11-11T10:38:06.009329,5.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:06.276329,2025-11-11T10:38:06.280329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:06.323329,2025-11-11T10:38:06.319329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:06.491329,2025-11-11T10:38:06.491329,0.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:06.529329,2025-11-11T10:38:06.531329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:06.567329,2025-11-11T10:38:06.565329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:06.601329,2025-11-11T10:38:06.604329,3.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:06.731329,2025-11-11T10:38:06.727329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:07.249329,2025-11-11T10:38:07.246329,3.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:07.286329,2025-11-11T10:38:07.281329,5.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:07.332329,2025-11-11T10:38:07.327329,5.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:07.364329,2025-11-11T10:38:07.365329,1.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:07.491329,2025-11-11T10:38:07.491329,0.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:07.596329,2025-11-11T10:38:07.595329,1.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:07.648329,2025-11-11T10:38:07.650329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:07.914329,2025-11-11T10:38:07.914329,0.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.078329,2025-11-11T10:38:08.075329,3.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.286329,2025-11-11T10:38:08.287329,1.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.318329,2025-11-11T10:38:08.314329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.358329,2025-11-11T10:38:08.356329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.437329,2025-11-11T10:38:08.435329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.482329,2025-11-11T10:38:08.485329,3.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.532329,2025-11-11T10:38:08.531329,1.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.691329,2025-11-11T10:38:08.689329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.764329,2025-11-11T10:38:08.767329,3.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.802329,2025-11-11T10:38:08.798329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:08.920329,2025-11-11T10:38:08.925329,5.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.121329,2025-11-11T10:38:09.120329,1.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.162329,2025-11-11T10:38:09.166329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.202329,2025-11-11T10:38:09.203329,1.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.280329,2025-11-11T10:38:09.278329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.362329,2025-11-11T10:38:09.366329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.398329,2025-11-11T10:38:09.394329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.486329,2025-11-11T10:38:09.486329,0.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.568329,2025-11-11T10:38:09.566329,2.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.676329,2025-11-11T10:38:09.680329,4.0
S20251110_S3_P10_run1,3d9f24,3D9F24,2025-11-11T10:38:09.727329,2025-11-11T10:38:09.724329,3.0
